题型	题干	选项	答案
单选题	1.习近平在中国共产党第二十次全国代表大会上的报告指出，______在二十一世纪的中国焕发出新的蓬勃生机。	科学社会主义;;中国特色社会主义;;世界社会主义;;马克思主义	A
单选题	2.党的二十大报告指出，要深入推进________军事训练，深化联合训练、对抗训练、科技练兵。	实战化;;多样化;;常态化;;制度化	A
单选题	3.党的二十大报告指出，要全面加强练兵备战，提高人民军队________能力。研究掌握信息化智能化战争特点规律，创新军事战略指导，发展人民战争战略战术。	打击;;打赢;;军史学习;;作战	B
单选题	4.党的二十大报告指出，要加强国防和军队建设重大任务战建备统筹，加快建设现代化后勤，实施________和_______重大工程，加速科技向战斗力转化。	国防科技；武器装备;;依法治军；军事人才培养;;军队院校改革；武器装备现代化;;依规治军；军事人才选拔	A
单选题	5.党的二十大报告指出，人民军队始终是党和人民完全可以信赖的英雄军队，有信心，有能力维护国家主权，统一和领土完整，有信心，有能力为实现中华民族伟大复兴提供__________支撑。	战略;;基础;;军事;;国防	A
单选题	6.贯彻新时代党的强军思想，贯彻新时代军事战略方针，坚持_______对人民军队的绝对领导。	国家;;党;;领导;;军事人才	B
单选题	7.全面建设社会主义现代化国家、全面推进中华民族伟大复兴关键在党。	正确;;错误	A
单选题	8.要健全___________制度体系，扩大人民有序政治参与，保证人民依法实行民主选举、民主协商、民主决策、民主管理、民主监督。	人民当家作主;;行业精英当家作主;;高级知识分子当家作主;;公民当家作主	A
单选题	9.中国共产党第二十次全国代表大会，是在全党全国各族人民迈上__________新征程、向第二个百年奋斗目标进军的关键时刻召开的一次十分重要的大会。	全面建设社会主义现代化国家;;全面深化改革;;全面依法治国;;全面从严治党	A
单选题	10.党的二十大报告指出，_______是全面建设社会主义现代化国家的首要任务。	建设现代化经济体系;;坚持新发展理念;;统筹发展和安全;;高质量发展	D
单选题	11.我们要坚持以人民安全为宗旨、以______安全为根本，以经济安全为基础，以军事科技文化社会安全为保障，建设更高水平的平安中国，以新安全格局保障新发展格局	政治;;经济;;外交;;文化	A
单选题	12.2022年10月16日，习近平在在中国共产党第二十次全国代表大会上的报告指出，实践告诉我们，中国共产党为什么能，中国特色社会主义为什么好，归根到底是___________________________。	马克思主义行，中国化传统化的马克思主义行;;马克思主义行，中国化时代化的马克思主义行;;马克思主义行，国际化时代化的马克思主义行;;马克思主义行，进步化时代化的马克思主义行	B
单选题	13.习近平在中国共产党第二十次全国代表大会上的报告指出，拥有马克思主义科学理论指导是我们党的__________________根本所在。	坚定信仰信念、把握历史主动;;坚定信仰信念、把握发展规律;;总结历史经验、把握历史主动;;坚定道路选择、把握历史主动	A
单选题	14._______是维护社会公平正义的最后一道防线，深化司法体制综合配套改革，全面准确落实司法责任制，加快建设公正高效权威的社会主义司法制度，努力让人民群众在每一个司法案件中感受到公平正义。	科学立法;;严格执法;;公正司法;;全民守法	C
单选题	15.我们要坚持以______为中心，坚持四项基本原则，坚持改革开放，坚持独立自主、自力更生，坚持把中国发展进步的命运牢牢掌握在自己手里。	社会建设;;文化建设;;经济建设;;生态建设	C
单选题	16.2022年10月16日，习近平在中国共产党第二十次全国代表大会上的报告指出，________的历史潮流不可阻挡，人心所向、大势所趋决定了人类前途终归光明。	和平、发展、合作、共赢;;民主、和平、合作、共赢;;独立、发展、自主、和平;;改革、发展、独立、和平	A
单选题	17.习近平在中国共产党第二十次全国代表大会上的报告指出，我们深入推进全面从严治党，坚持打铁必须自身硬，提出落实新时代________总要求。	党的建设;;党的政治建设;;党的制度建设;;党的思想建设	A
单选题	18.________是民族复兴的根基，社会稳定是国家强盛的前提。	民族发展;;经济发展;;国家安全;;国家强盛	C
单选题	19.习近平在党的二十大报告指出，健全党统一领导、全面覆盖、权威高效的监督体系，完善权力监督制约机制，以_______为主导，促进各类监督贯通协调。	党内监督;;群众监督;;社会监督;;纪检监督	A
多选题	20.经过不懈努力，党找到了自我革命这一跳出治乱兴衰历史周期率的第二答案，确保党永远________。	不变形;;不变色;;不变味;;不变质	BCD
多选题	21.党的二十大报告指出，提高防范化解重大风险能力，严密防范系统性安全风险，严厉打击敌对势力__________活动。	渗透;;破坏;;颠覆;;分裂	ABCD
多选题	22.________方针是实现两岸统一的最佳方式，对两岸同胞和中华民族最有利。	武力统一;;一种制度;;和平统一;;一国两制	CD
多选题	23.党的二十大报告指出，中国共产党愿在________原则基础上加强同各国政党和政治组织交流合作，积极推进人政协、军队、地方、民间等各方面对外交往。	独立自主;;完全平等;;互相尊重;;互不干涉内部事务	ABCD
多选题	24.2022年10月16日，习近平在中国共产党第二十次全国代表大会上的报告指出，增强维护国家安全能力，坚定维护国家_______安全。	政权;;经济;;制度;;意识形态	ACD
多选题	25.我们要加强党的政治建设，严明政治纪律和政治规矩：落实各级党委（党组）主体责任，提高各级党组织和党员干部_________。	政治判断力;;政治领悟力;;政治执行力;;政治分辨力	ABC
多选题	26.党的二十大报告指出，我们全面准确推进“一国两制”实践，坚持_______的方针，推动香港进入由乱到治走向由治及兴的新阶段，香港、澳门保持长期稳定发展良好态势。	一国两制;;港人治港;;澳人治澳;;高度自治;;完全自治	ABCD
多选题	27.党的二十大报告指出，十八大以来被，我们党勇于进行理论探索和创新，以全新的视野深化对__________的认识，取得重大理论创新成果，集中体现为新时代中国特色社会主义思想。	共产党执政规律;;党的建设规律;;社会主义建设规律;;人类社会发展规律	ACD
多选题	28.十年来，我们深入贯彻以人民为中心的发展思想，人民群众_______更加充实、更有保障、更可持续，共同富裕取得新成效。	获得感;;幸福感;;安全感;;危机感	ABC
多选题	29.要坚持教育优先发展、科技自立自强、人才引领驱动，加快建设____________，坚持为党育人、为国育才，全面提高人才自主培养质量，着力造就拔尖创新人才，聚天下英才而用之。	教育强国;;科技强国;;人才强国;;创新强国	ABC
